shop_name,stylebox_shop_id,shop_url,product_url,product_name,original_price,imgs,scrape_date,discounted_price,review,size,color,description_1,description_2,rating
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/acs020/,Crew Socks - Let It Be - Jet Black,95.000 VND,"['https://ananas.vn/wp-content/uploads/ACS020_2.jpg', 'https://ananas.vn/wp-content/uploads/ACS020_1.jpg']",2022-08-02 15:40:30.224109,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/av00114/,Basas Bumper Gum EXT NE - Low Top - Offwhite/Gum,580.000 VND,"['https://ananas.vn/wp-content/uploads/pro_AV00114_3.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00114_8.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00114_4.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00114_7.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00114_2.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00114_6.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00114_5.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00114_1.jpg']",2022-08-02 15:40:31.244050,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/alb003/,Blank Shoelaces - Antique Bronze,35.000 VND,"['https://ananas.vn/wp-content/uploads/ALB003_3.jpg', 'https://ananas.vn/wp-content/uploads/ALB003_1.jpg', 'https://ananas.vn/wp-content/uploads/ALB003_2.jpg']",2022-08-02 15:40:32.044065,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/a61032/,Vintas Saigon 1980s - Low Top - Vin Black,480.000 VND,"['https://ananas.vn/wp-content/uploads/pro_vintas_A61032_3.jpg', 'https://ananas.vn/wp-content/uploads/pro_vintas_A61032_5.jpg', 'https://ananas.vn/wp-content/uploads/pro_vintas_A61032_1.jpg', 'https://ananas.vn/wp-content/uploads/pro_vintas_A61032_4.jpg', 'https://ananas.vn/wp-content/uploads/pro_vintas_A61032_2.jpg']",2022-08-02 15:40:33.344703,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/a61111/,Vintas Temperate - High Top - Dusty Olive,610.000 VND,"['https://ananas.vn/wp-content/uploads/pro_A61111_2.jpg', 'https://ananas.vn/wp-content/uploads/pro_A61111_3.jpg', 'https://ananas.vn/wp-content/uploads/pro_A61111_4.jpg', 'https://ananas.vn/wp-content/uploads/pro_A61111_5.jpg', 'https://ananas.vn/wp-content/uploads/pro_A61111_1.jpg']",2022-08-02 15:40:34.303204,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/policy/,SẢN PHẨM,,[],2022-08-02 15:40:34.710897,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/alb009/,Blank Shoelaces - White,35.000 VND,"['https://ananas.vn/wp-content/uploads/pro_ALB009_2.jpg', 'https://ananas.vn/wp-content/uploads/pro_ALB009_3.jpg', 'https://ananas.vn/wp-content/uploads/pro_ALB009_1.jpg']",2022-08-02 15:40:36.498933,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/faqs,SẢN PHẨM,,[],2022-08-02 15:40:37.172295,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/av00101/,Vintas Mister NE - High Top - Chocolate Brown,650.000 VND,"['https://ananas.vn/wp-content/uploads/pro_AV00101_2.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00101_3.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00101_5.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00101_4.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00101_1.jpg']",2022-08-02 15:40:40.263290,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/a61080/,Basas New Simple Life - High Top - Taupe,390.000 VND,"['https://ananas.vn/wp-content/uploads/pro_basas_A61080_2.jpg', 'https://ananas.vn/wp-content/uploads/pro_basas_A61080_5.jpg', 'https://ananas.vn/wp-content/uploads/pro_basas_A61080_3.jpg', 'https://ananas.vn/wp-content/uploads/pro_basas_A61080_1.jpg', 'https://ananas.vn/wp-content/uploads/pro_basas_A61080_4.jpg']",2022-08-02 15:40:44.675915,,,,,,,
